,Player,Country,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
12,WD Parnell ,SA,65,61,2911,2738,94,May-48,29.12,5.64,30.9,3,2
13,SO Tikolo ,Afr/KENYA,135,99,4016,3215,94,Apr-41,34.2,4.8,42.7,2,0
14,LL Tsotsobe ,SA,61,60,2964,2347,94,Apr-22,24.96,4.75,31.5,7,0
15,MJ Henry ,NZ,52,50,2703,2437,92,May-30,26.48,5.4,29.3,7,2
16,SP Narine ,WI,65,65,3540,2435,92,Jun-27,26.46,4.12,38.4,4,2
17,AC Cummins ,CAN/WI,76,74,3767,2877,91,May-31,31.61,4.58,41.3,2,1
18,CB Mpofu ,ZIM,83,82,3900,3513,91,Jun-52,38.6,5.4,42.8,2,1
19,BP Patterson ,WI,59,58,3050,2206,90,Jun-29,24.51,4.33,33.8,1,1
20,BL Cairns ,NZ,78,75,4015,2717,89,May-28,30.52,4.06,45.1,2,1
21,GH Dockrell ,IRE,87,85,4232,3327,89,Apr-24,37.38,4.71,47.5,4,0
22,Saleem Malik ,PAK,283,120,3505,2959,89,May-35,33.24,5.06,39.3,1,1
23,MN Samuels ,WI,207,134,5091,4127,89,03-Dec,46.37,4.86,57.2,0,0
24,TM Alderman ,AUS,65,65,3371,2056,88,May-17,23.36,3.65,38.3,1,2
25,GF Lawson ,AUS,79,79,4259,2592,88,Apr-26,29.45,3.65,48.3,1,0
26,GJ Whittall ,ZIM,147,112,4060,3481,88,Apr-35,39.55,5.14,46.1,1,0
27,AME Roberts ,WI,56,56,3123,1771,87,May-22,20.35,3.4,35.8,2,1
28,MM Patel ,INDIA,70,67,3154,2603,86,Apr-29,30.26,4.95,36.6,3,0
29,Aamer Sohail ,PAK,156,125,4836,3703,85,Apr-22,43.56,4.59,56.8,1,0
30,YS Chahal ,INDIA,50,49,2659,2246,85,Jun-42,26.42,5.06,31.2,2,2
31,IJ Harvey ,AUS,73,70,3279,2577,85,Apr-16,30.31,4.71,38.5,4,0
32,RM Hogg ,AUS,71,67,3677,2418,85,Apr-29,28.44,3.94,43.2,5,0
33,JR Ratnayeke ,SL,78,76,3573,2866,85,Apr-23,33.71,4.81,42,1,0
34,ME Waugh ,AUS,244,120,3687,2938,85,May-24,34.56,4.78,43.3,1,1
35,MM Ali ,ENG,101,95,4654,4089,84,Apr-46,48.67,5.27,55.4,1,0
36,CD Collymore ,WI,84,80,4074,2924,83,May-51,35.22,4.3,49,1,1
37,Mohammad Irfan ,PAK,60,60,3109,2549,83,Apr-30,30.71,4.91,37.4,2,0
38,PV Simmons ,WI,143,103,3880,2876,83,04-Mar,34.65,4.44,46.7,2,0
39,Hasan Ali ,PAK,53,51,2548,2381,82,May-34,29.03,5.6,31,1,3
40,MJ McClenaghan ,NZ,48,45,2336,2313,82,May-58,28.2,5.94,28.4,6,1
41,CG Rackemann ,AUS,52,52,2791,1833,82,May-16,22.35,3.94,34,3,1
42,JEC Franklin ,NZ,110,97,3848,3354,81,May-42,41.4,5.22,47.5,0,1
43,Mohammad Amir ,PAK,61,60,3013,2400,81,May-30,29.62,4.77,37.1,1,1
44,DJG Sammy ,WI,126,119,4956,3851,81,Apr-26,47.54,4.66,61.1,1,0
45,RGD Willis ,ENG,64,64,3595,1968,80,04-Nov,24.6,3.28,44.9,4,0
46,CR Matthews ,SA,56,55,3003,1975,79,04-Oct,25,3.94,38,3,0
47,A Ranatunga ,SL,269,135,4710,3757,79,Apr-14,47.55,4.78,59.6,1,0
48,AJ Bichel ,AUS,67,66,3257,2463,78,Jul-20,31.57,4.53,41.7,1,2
49,IDR Bradshaw ,WI,62,62,3172,2299,78,Mar-15,29.47,4.34,40.6,0,0
0,PJ Ongondo ,Afr/KENYA,79,79,3102,2350,78,May-51,30.12,4.54,39.7,1,1
1,RMH Binny ,INDIA,72,67,2957,2260,77,Apr-29,29.35,4.58,38.4,3,0
2,Iftikhar Anjum ,PAK,62,60,2960,2430,77,May-30,31.55,4.92,38.4,2,1
3,P Kumar ,INDIA,68,67,3242,2774,77,Apr-31,36.02,5.13,42.1,3,0
4,R McLaren ,SA,54,51,2403,2102,77,Apr-19,27.29,5.24,31.2,5,0
5,JE Emburey ,ENG,61,61,3425,2346,76,Apr-37,30.86,4.1,45,2,0
6,SJ Harmison ,ENG,58,57,2899,2481,76,May-33,32.64,5.13,38.1,2,1
7,RD King ,WI,50,50,2603,1807,76,Apr-25,23.77,4.16,34.2,2,0
8,Mahmudullah ,BDESH,185,134,4090,3527,76,03-Apr,46.4,5.17,53.8,0,0
9,RJ Ratnayake ,SL,70,70,3575,2712,76,May-32,35.68,4.55,47,1,1
10,GB Brent ,ZIM,70,69,3390,2776,75,Apr-22,37.01,4.91,45.2,3,0
11,RJ Peterson ,SA,79,74,3278,2680,75,04-Dec,35.73,4.9,43.7,3,0
12,S Sreesanth ,INDIA,53,52,2476,2508,75,Jun-55,33.44,6.07,33,2,1
13,HMRKB Herath ,SL,71,67,3242,2362,74,Apr-20,31.91,4.37,43.8,1,0
14,TJ Murtagh ,IRE,58,57,3020,2290,74,May-21,30.94,4.54,40.8,4,1
15,W Watson ,NZ,61,61,3251,2247,74,Apr-27,30.36,4.14,43.9,1,0
16,AR Border ,AUS,273,87,2661,2071,73,Mar-20,28.36,4.66,36.4,0,0
17,RS Kalpage ,SL,86,81,3960,2975,73,Apr-36,40.75,4.5,54.2,2,0
18,S Madan Lal ,INDIA,67,64,3164,2137,73,Apr-20,29.27,4.05,43.3,2,0
19,J Botha ,Afr/SA,78,75,3823,2916,72,Apr-19,40.5,4.57,53,1,0
20,GS Chappell ,AUS,74,67,3108,2097,72,May-15,29.12,4.04,43.1,0,2
21,JR Hazlewood ,AUS,44,43,2294,1811,72,Jun-52,25.15,4.73,31.8,1,3
22,PL Symcox ,SA,80,80,3991,2762,72,Apr-28,38.36,4.15,55.4,1,0
23,DBL Powell ,WI,55,55,2850,2239,71,Apr-27,31.53,4.71,40.1,2,0
24,Sohail Tanvir ,PAK,62,60,2949,2566,71,May-48,36.14,5.22,41.5,3,1
25,SC Williams ,ZIM,131,107,4080,3300,71,Apr-43,46.47,4.85,57.4,1,0
26,EA Brandes ,ZIM,59,59,2828,2266,70,May-28,32.37,4.8,40.4,1,2
27,BM McMillan ,SA,78,75,3623,2589,70,Apr-32,36.98,4.28,51.7,1,0
28,NN Odhiambo ,KENYA,69,67,2808,2585,70,Apr-61,36.92,5.52,40.1,1,0
29,AD Russell ,WI,56,55,2290,2229,70,Apr-35,31.84,5.84,32.7,5,0
30,BA Stokes ,ENG,95,80,2912,2920,70,May-61,41.71,6.01,41.6,1,1
31,AR Caddick ,ENG,54,53,2937,1965,69,Apr-19,28.47,4.01,42.5,3,0
32,JP Duminy ,SA,199,135,3513,3143,69,Apr-16,45.55,5.36,50.9,1,0
33,SB Joshi ,INDIA,69,67,3386,2509,69,05-Jun,36.36,4.44,49,1,1
34,MJ Santner ,NZ,69,64,3079,2510,69,May-50,36.37,4.89,44.6,0,1
35,Shafiul Islam ,BDESH,59,59,2486,2453,69,Apr-21,35.55,5.92,36,4,0
36,RP Singh ,INDIA,58,57,2565,2343,69,Apr-35,33.95,5.48,37.1,2,0
37,RR Singh ,INDIA,136,117,3734,2985,69,May-22,43.26,4.79,54.1,0,2
38,CPH Ramanayake ,SL,62,62,2864,2049,68,Apr-17,30.13,4.29,42.1,1,0
39,HA Varaiya ,KENYA,63,60,2951,2048,68,Apr-25,30.11,4.16,43.3,2,0
40,MA Ealham ,ENG,64,62,3227,2197,67,May-15,32.79,4.08,48.1,1,2
41,LH Ferguson ,NZ,36,36,1902,1719,67,May-45,25.65,5.42,28.3,2,1
42,JR Hopes ,AUS,84,75,3157,2384,67,May-14,35.58,4.53,47.1,0,1
43,MS Kasprowicz ,AUS,43,42,2225,1674,67,May-45,24.98,4.51,33.2,1,2
44,Khaled Mahmud ,BDESH,77,75,3385,2865,67,Apr-19,42.76,5.07,50.5,1,0
45,C Sharma ,INDIA,65,63,2835,2336,67,Mar-22,34.86,4.94,42.3,0,0
46,DT Johnston ,IRE,67,63,2930,2115,66,May-14,32.04,4.33,44.3,1,1
47,CC Lewis ,ENG,53,49,2625,1942,66,Apr-30,29.42,4.43,39.7,4,0
48,Maninder Singh ,INDIA,59,57,3133,2066,66,Apr-22,31.3,3.95,47.4,1,0
49,T Panyangara ,ZIM,65,65,3242,3024,65,Mar-28,46.52,5.59,49.8,0,0
0,AL Phehlukwayo ,SA,52,50,2077,1936,65,Apr-22,29.78,5.59,31.9,3,0
1,C White ,ENG,51,50,2364,1726,65,May-21,26.55,4.38,36.3,1,1
2,A Zampa ,AUS,48,48,2480,2363,65,Apr-43,36.35,5.71,38.1,1,0
3,A Mishra ,INDIA,36,34,1917,1511,64,Jun-48,23.6,4.72,29.9,2,2
4,DJ Nash ,NZ,81,78,3416,2622,64,Apr-38,40.96,4.6,53.3,1,0
5,SM Sharif ,SCOT,44,44,2129,1776,64,May-33,27.75,5,33.2,2,1
6,AR Cusack ,IRE,59,52,1953,1510,63,May-20,23.96,4.63,31,1,1
7,NM Hauritz ,AUS,58,56,2724,2152,63,Apr-29,34.15,4.74,43.2,2,0
8,NL McCullum ,NZ,84,81,3536,2956,63,Mar-24,46.92,5.01,56.1,0,0
9,Mujeeb Ur Rahman ,AFG,40,39,2153,1414,63,May-50,22.44,3.94,34.1,2,1
10,AD Mullally ,ENG,50,49,2699,1728,63,Apr-18,27.42,3.84,42.8,2,0
11,SLV Raju ,INDIA,53,52,2770,2014,63,Apr-46,31.96,4.36,43.9,2,0
12,BA Reid ,AUS,61,61,3250,2203,63,May-53,34.96,4.06,51.5,0,1
13,Sarfraz Nawaz ,PAK,45,45,2412,1463,63,Apr-27,23.22,3.63,38.2,4,0
14,DE Bollinger ,AUS,39,39,1942,1482,62,May-35,23.9,4.57,31.3,3,2
15,SW Tait ,AUS,35,34,1688,1461,62,Apr-39,23.56,5.19,27.2,2,0
16,DT Hondo ,ZIM,56,56,2381,2171,61,Apr-37,35.59,5.47,39,3,0
17,DR Smith ,WI,105,73,2726,2285,61,May-45,37.45,5.02,44.6,3,1
18,Syed Rasel ,BDESH,52,52,2657,2051,61,Apr-22,33.62,4.63,43.5,1,0
19,MA Wood ,ENG,51,50,2585,2385,61,Apr-33,39.09,5.53,42.3,2,0
20,CJ Anderson ,NZ,49,43,1485,1502,60,May-63,25.03,6.06,24.7,2,1
21,FH Edwards ,WI,50,49,2138,1812,60,Jun-22,30.2,5.08,35.6,0,2
22,RM Haq ,SCOT,54,51,2633,1975,60,May-54,32.91,4.5,43.8,2,1
23,JC Tredwell ,ENG,45,44,2104,1666,60,Apr-41,27.76,4.75,35,3,0
24,ALF de Mel ,SL,57,57,2735,2237,59,May-32,37.91,4.9,46.3,1,2
25,NA Foster ,ENG,48,48,2627,1836,59,Mar-20,31.11,4.19,44.5,0,0
26,Gulbadin Naib ,AFG,65,60,2194,1968,59,Jun-43,33.35,5.38,37.1,2,1
27,Hamid Hassan ,AFG,38,37,1734,1330,59,May-45,22.54,4.6,29.3,2,1
28,JDS Neesham ,NZ,59,55,1772,1814,59,May-31,30.74,6.14,30,2,1
29,Shadab Khan ,PAK,43,41,2088,1750,59,Apr-28,29.66,5.02,35.3,3,0
30,Sikandar Raza ,ZIM,97,71,2846,2269,59,Mar-21,38.45,4.78,48.2,0,0
31,Tapash Baisya ,BDESH,56,56,2608,2452,59,Apr-16,41.55,5.64,44.2,2,0
32,KM Jarvis ,ZIM,49,49,2362,2088,58,Apr-17,36,5.3,40.7,2,0
33,HK Olonga ,ZIM,50,49,2059,1977,58,Jun-19,34.08,5.76,35.5,2,2
34,GC Small ,ENG,53,53,2793,1942,58,Apr-31,33.48,4.17,48.1,1,0
35,Mudassar Bukhari ,NL,46,46,2036,1601,57,Mar-17,28.08,4.71,35.7,0,0
36,MJ Clarke ,AUS,245,106,2585,2146,57,May-35,37.64,4.98,45.3,1,1
37,GRJ Matthews ,AUS,59,54,2808,2004,57,Mar-27,35.15,4.28,49.2,0,0
38,DS Mohanty ,INDIA,45,44,1996,1662,57,Apr-56,29.15,4.99,35,1,0
39,T Mupariwa ,ZIM,40,40,2019,1690,57,Apr-39,29.64,5.02,35.4,3,0
40,Arshad Khan ,PAK,58,56,2823,1948,56,Apr-33,34.78,4.14,50.4,1,0
41,R Telemachus ,SA,37,37,1918,1565,56,Apr-43,27.94,4.89,34.2,1,0
42,XJ Doherty ,AUS,60,56,2792,2224,55,Apr-28,40.43,4.77,50.7,3,0
43,AF Giles ,ENG,62,57,2856,2069,55,May-57,37.61,4.34,51.9,0,1
44,Tauseef Ahmed ,PAK,70,67,3250,2247,55,Apr-38,40.85,4.14,59,1,0
45,RN ten Doeschate ,NL,33,33,1580,1327,55,Apr-31,24.12,5.03,28.7,3,0
46,JR Thomson ,AUS,50,50,2696,1942,55,Apr-67,35.3,4.32,49,1,0
47,JV Coney ,NZ,88,70,2931,2039,54,Apr-46,37.75,4.17,54.2,1,0
48,N Pradeep ,SL,42,40,1996,1998,54,Apr-31,37,6,36.9,2,0
49,HH Pandya ,INDIA,54,53,2368,2195,54,Mar-31,40.64,5.56,43.8,0,0
0,AR Adams ,NZ,42,40,1885,1643,53,May-22,31,5.22,35.5,2,1
1,SR Clark ,AUS,39,38,1829,1477,53,Apr-54,27.86,4.84,34.5,2,0
2,Mohammad Naveed ,UAE,39,39,1938,1757,53,May-28,33.15,5.43,36.5,0,1
3,LS Pascoe ,AUS,29,28,1568,1066,53,May-30,20.11,4.07,29.5,4,1
4,SMSM Senanayake ,SL,49,47,2358,1874,53,Apr-13,35.35,4.76,44.4,1,0
5,GI Allott ,NZ,31,31,1528,1207,52,Apr-35,23.21,4.73,29.3,4,0
6,NM Coulter-Nile ,AUS,32,32,1678,1555,52,Apr-48,29.9,5.56,32.2,1,0
7,KSC de Silva ,SL,38,37,1619,1323,52,Mar-18,25.44,4.9,31.1,0,0
8,DS Lehmann ,AUS,117,62,1793,1445,52,04-Jul,27.78,4.83,34.4,1,0
9,TM Moody ,AUS,76,66,2797,2014,52,Mar-25,38.73,4.32,53.7,0,0
10,KA Pollard ,WI,107,74,2116,2025,52,Mar-27,38.94,5.74,40.6,0,0
11,DJ Willey ,ENG,46,45,1971,1889,52,Apr-34,36.32,5.75,37.9,2,0
12,A Dananjaya ,SL,36,34,1773,1506,51,Jun-29,29.52,5.09,34.7,2,2
13,VC Drakes ,WI,34,34,1640,1293,51,May-33,25.35,4.73,32.1,3,2
14,BJ McCarthy ,IRE,27,27,1389,1360,51,May-46,26.66,5.87,27.2,2,1
15,AM Blignaut ,ZIM,54,53,2348,2063,50,Apr-43,41.26,5.27,46.9,2,0
16,GJ Maxwell ,AUS,110,86,2698,2525,50,Apr-46,50.5,5.61,53.9,2,0
17,JA Morkel ,Afr/SA,58,52,2073,1899,50,Apr-29,37.98,5.49,41.4,2,0
18,PM Seelaar ,NL,41,41,1901,1476,50,Apr-15,29.52,4.65,38,1,0
19,T Thushara ,SL,38,38,1676,1393,50,May-47,27.86,4.98,33.5,0,1
20,JH Davey ,SCOT,31,29,1301,1082,49,Jun-28,22.08,4.99,26.5,1,2
21,CD McMillan ,NZ,197,74,1879,1717,49,Mar-20,35.04,5.48,38.3,0,0
22,AR Nurse ,WI,54,49,2384,2125,49,Apr-51,43.36,5.34,48.6,2,0
23,JS Patel ,NZ,43,42,2014,1691,49,03-Nov,34.51,5.03,41.1,0,0
24,GR Dilley ,ENG,36,36,2043,1291,48,Apr-23,26.89,3.79,42.5,3,0
25,JK Kamande ,KENYA,86,71,2619,2169,48,Apr-36,45.18,4.96,54.5,1,0
26,S Lee ,AUS,45,43,1706,1245,48,May-33,25.93,4.37,35.5,1,1
27,JF Mooney ,IRE,64,50,1797,1635,48,Apr-27,34.06,5.45,37.4,2,0
28,CH Morris ,SA,42,40,1894,1756,48,Apr-31,36.58,5.56,39.4,2,0
29,ARC Fraser ,ENG,42,42,2392,1412,47,Apr-22,30.04,3.54,50.8,1,0
30,Shahadat Hossain ,BDESH,51,50,2198,2143,47,Mar-34,45.59,5.84,46.7,0,0
31,M Amarnath ,INDIA,85,64,2730,1971,46,03-Dec,42.84,4.33,59.3,0,0
32,PW Borren ,NL,58,51,1979,1620,46,Apr-32,35.21,4.91,43,1,0
33,N Chopra ,INDIA,39,37,1835,1286,46,May-21,27.95,4.2,39.8,1,1
34,AC Evans ,SCOT,36,35,1678,1499,46,Apr-41,32.58,5.35,36.4,2,0
35,NAM McLean ,WI,45,45,2120,1729,46,Mar-21,37.58,4.89,46,0,0
36,Mirwais Ashraf ,AFG,46,45,2009,1360,46,Apr-35,29.56,4.06,43.6,1,0
37,Mohammad Asif ,Asia/PAK,38,36,1941,1524,46,Mar-28,33.13,4.71,42.1,0,0
38,SB O'Connor ,NZ,38,38,1487,1396,46,May-39,30.34,5.63,32.3,1,2
39,Samiullah Shinwari ,AFG,84,65,2111,1729,46,Apr-31,37.58,4.91,45.8,1,0
40,BC Strang ,ZIM,49,48,2494,1718,46,Jun-20,37.34,4.13,54.2,1,1
41,MR Whitney ,AUS,38,38,2106,1249,46,Apr-34,27.15,3.55,45.7,2,0
42,RDB Croft ,ENG,50,49,2466,1743,45,Mar-51,38.73,4.24,54.8,0,0
43,GF Labrooy ,SL,44,44,2308,1876,45,May-57,41.68,4.87,51.2,1,1
44,NO Miller ,WI,50,46,2125,1660,45,Apr-43,36.88,4.68,47.2,2,0
45,CM Old ,ENG,32,31,1755,999,45,04-Aug,22.2,3.41,39,2,0
46,H Osinde ,CAN,42,41,1692,1389,45,Apr-26,30.86,4.92,37.6,2,0
47,AR Patel ,INDIA,38,35,1908,1409,45,Mar-34,31.31,4.43,42.4,0,0
48,DN Patel ,NZ,75,69,3251,2261,45,Mar-22,50.24,4.17,72.2,0,0
49,EC Rainsford ,ZIM,39,39,1907,1401,45,May-36,31.13,4.4,42.3,1,1
0,Taskin Ahmed ,BDESH,32,31,1413,1401,45,May-28,31.13,5.94,31.4,2,1
1,AR Whittall ,ZIM,63,62,3085,2251,45,Mar-23,50.02,4.37,68.5,0,0
2,HS Baidwan ,CAN,32,32,1551,1348,44,Mar-19,30.63,5.21,35.2,0,0
3,SP Davis ,AUS,39,39,2016,1133,44,03-Oct,25.75,3.37,45.8,0,0
4,S Elworthy ,SA,39,37,1702,1235,44,Mar-17,28.06,4.35,38.6,0,0
5,AH Gray ,WI,25,24,1270,835,44,Jun-50,18.97,3.94,28.8,2,1
6,RJ Harris ,AUS,21,20,1031,832,44,May-19,18.9,4.84,23.4,0,3
7,VJ Marks ,ENG,34,32,1838,1135,44,May-20,25.79,3.7,41.7,0,2
8,MR Marsh ,AUS,53,50,1700,1564,44,May-33,35.54,5.52,38.6,1,1
9,Nazmul Hossain ,BDESH,38,37,1649,1386,44,Apr-40,31.5,5.04,37.4,1,0
10,DR Pringle ,ENG,44,44,2379,1677,44,Apr-42,38.11,4.22,54,1,0
11,RP Snell ,SA,42,42,2095,1574,44,May-40,35.77,4.5,47.6,2,1
12,DP Viljoen ,ZIM,53,46,2075,1639,44,Mar-20,37.25,4.73,47.1,0,0
13,JC Adams ,WI,127,56,1856,1499,43,May-37,34.86,4.84,43.1,0,1
14,CR Brathwaite ,WI,44,40,1825,1766,43,May-27,41.06,5.8,42.4,2,1
15,CJ Jordan ,ENG,31,31,1532,1521,43,May-29,35.37,5.95,35.6,0,1
16,Shapoor Zadran ,AFG,44,44,1983,1589,43,Apr-24,36.95,4.8,46.1,2,0
17,PR Stirling ,IRE,114,73,2392,1902,43,Jun-55,44.23,4.77,55.6,1,1
18,MA Suji ,KENYA,64,64,2952,2190,43,Apr-24,50.93,4.45,68.6,1,0
19,KLT Arthurton ,WI,105,44,1384,1159,42,Apr-31,27.59,5.02,32.9,3,0
20,AC Botha ,IRE,42,33,1560,1134,42,Apr-19,27,4.36,37.1,2,0
21,JW Hastings ,AUS,29,29,1486,1256,42,Jun-45,29.9,5.07,35.3,1,1
22,Imad Wasim ,PAK,53,51,2313,1865,42,May-14,44.4,4.83,55,0,1
23,AR McBrine ,IRE,42,40,2045,1489,42,Mar-38,35.45,4.36,48.6,0,0
24,SA Thomson ,NZ,56,51,2121,1602,42,Mar-14,38.14,4.53,50.5,0,0
25,Aftab Alam ,AFG,27,27,1257,1033,41,Apr-25,25.19,4.93,30.6,1,0
26,JAR Blain ,SCOT,33,32,1329,1173,41,May-22,28.6,5.29,32.4,1,1
27,DG Cork ,ENG,32,32,1772,1368,41,Mar-27,33.36,4.63,43.2,0,0
28,CE Cuffy ,WI,41,41,2153,1436,41,Apr-24,35.02,4,52.5,1,0
29,S Dhaniram ,CAN,44,41,1769,1240,41,May-32,30.24,4.2,43.1,1,1
30,SM Ervine ,ZIM,42,40,1649,1561,41,Mar-29,38.07,5.67,40.2,0,0
31,HA Gomes ,WI,83,36,1345,1045,41,Apr-31,25.48,4.66,32.8,2,0
32,AF Milne ,NZ,40,39,1801,1581,41,Mar-49,38.56,5.26,43.9,0,0
33,L Ngidi ,SA,22,22,1026,947,41,Apr-51,23.09,5.53,25,2,0
34,VD Philander ,SA,30,28,1279,986,41,04-Dec,24.04,4.62,31.1,2,0
35,Amir Hamza ,AFG,31,31,1552,1016,40,Apr-17,25.4,3.92,38.8,1,0
36,RP Arnold ,SL,180,84,2157,1739,40,Mar-47,43.47,4.83,53.9,0,0
37,RS Bopara ,ENG,120,74,1860,1523,40,Apr-38,38.07,4.91,46.5,1,0
38,Saleem Jaffar ,PAK,39,39,1900,1382,40,Mar-25,34.55,4.36,47.5,0,0
39,Shaheen Shah Afridi ,PAK,19,18,924,847,40,Jun-35,21.17,5.5,23.1,4,1
40,SJ Benn ,WI,47,46,2387,1913,39,Apr-18,49.05,4.8,61.2,3,0
41,PT Collins ,WI,30,30,1577,1212,39,May-43,31.07,4.61,40.4,0,1
42,SS Cottrell ,WI,30,28,1314,1293,39,May-46,33.15,5.9,33.6,1,1
43,WW Davis ,WI,35,35,1923,1302,39,Jul-51,33.38,4.06,49.3,0,1
44,GD Elliott ,NZ,83,56,1302,1179,39,Apr-31,30.23,5.43,33.3,1,0
45,WK McCallan ,IRE,39,35,1804,1208,39,Apr-30,30.97,4.01,46.2,2,0
46,H Masakadza ,ZIM,209,85,1844,1636,39,Mar-39,41.94,5.32,47.2,0,0
47,TBA May ,AUS,47,46,2504,1772,39,Mar-19,45.43,4.24,64.2,0,0
48,MO Odumbe ,KENYA,61,52,2237,1807,39,Apr-38,46.33,4.84,57.3,1,0
49,IS Sodhi ,NZ,31,30,1548,1430,39,Apr-58,36.66,5.54,39.6,1,0
0,Akram Raza ,PAK,49,48,2601,1611,38,Mar-18,42.39,3.71,68.4,0,0
1,D Bishoo ,WI,42,40,2022,1668,38,Mar-30,43.89,4.94,53.2,0,0
2,MG Hughes ,AUS,33,33,1639,1115,38,Apr-44,29.34,4.08,43.1,1,0
3,AJ Ireland ,ZIM,26,26,1326,1115,38,Mar-41,29.34,5.04,34.8,0,0
4,Nadeem Ahmed ,HKG,25,25,1327,932,38,Apr-26,24.52,4.21,34.9,4,0
5,Rohan Mustafa ,UAE,34,33,1583,1245,38,May-25,32.76,4.71,41.6,1,1
6,R Vinay Kumar ,INDIA,31,31,1436,1423,38,Apr-30,37.44,5.94,37.7,1,0
7,TJ Friend ,ZIM,51,45,1930,1779,37,Apr-55,48.08,5.53,52.1,1,0
8,MR Gillespie ,NZ,32,31,1521,1369,37,Apr-58,37,5.4,41.1,1,0
9,EE Hemmings ,ENG,33,32,1752,1294,37,Apr-52,34.97,4.43,47.3,1,0
10,M Kartik ,INDIA,37,36,1907,1612,37,Jun-27,43.56,5.07,51.5,0,1
11,Mehidy Hasan Miraz ,BDESH,38,37,1957,1520,37,Apr-29,41.08,4.66,52.8,1,0
12,KS Williamson ,NZ,149,65,1467,1310,37,Apr-22,35.4,5.35,39.6,1,0
13,HMCM Bandara ,SL,31,28,1470,1232,36,Apr-31,34.22,5.02,40.8,2,0
14,EAE Baptiste ,WI,43,43,2214,1511,36,02-Oct,41.97,4.09,61.5,0,0
15,MG Bevan ,AUS,232,67,1966,1655,36,Mar-36,45.97,5.05,54.6,0,0
16,JM Davison ,CAN,32,31,1435,1067,36,Mar-15,29.63,4.46,39.8,0,0
17,AIC Dodemaide ,AUS,24,24,1327,753,36,May-21,20.91,3.4,36.8,1,1
18,SB Doull ,NZ,42,42,1745,1459,36,Apr-25,40.52,5.01,48.4,1,0
19,GA Gooch ,ENG,125,60,2066,1516,36,Mar-19,42.11,4.4,57.3,0,0
20,S Randiv ,SL,31,29,1437,1214,36,May-42,33.72,5.06,39.9,0,1
21,Khurram Chohan ,CAN,25,24,1186,1029,36,May-68,28.58,5.2,32.9,3,1
22,SK Raina ,INDIA,226,101,2126,1811,36,Mar-34,50.3,5.11,59,0,0
23,I Wardlaw ,SCOT,22,21,1108,1036,36,Apr-22,28.77,5.61,30.7,2,0
24,CJ Chibhabha ,ZIM,103,58,1667,1615,35,Apr-25,46.14,5.81,47.6,1,0
25,M Hendrick ,ENG,22,22,1248,681,35,May-31,19.45,3.27,35.6,2,1
26,NC Johnson ,ZIM,48,39,1503,1220,35,Apr-42,34.85,4.87,42.9,1,0
27,Naeem Islam ,BDESH,59,48,1743,1407,35,Mar-32,40.2,4.84,49.8,0,0
28,CO Obuya ,KENYA,104,49,1818,1637,35,May-24,46.77,5.4,51.9,0,1
29,MRJ Watt ,SCOT,27,27,1443,1033,35,Apr-42,29.51,4.29,41.2,1,0
30,BA Williams ,AUS,25,24,1203,814,35,May-22,23.25,4.05,34.3,1,2
31,KJ Abbott ,SA,28,27,1303,1051,34,Apr-21,30.91,4.83,38.3,2,0
32,L Balaji ,INDIA,30,30,1447,1344,34,Apr-48,39.52,5.57,42.5,1,0
33,TL Best ,WI,26,26,1300,1157,34,Apr-35,34.02,5.34,38.2,2,0
34,PKD Chase ,IRE,25,24,1238,1356,34,Mar-33,39.88,6.57,36.4,0,0
35,OD Gibson ,WI,15,15,739,621,34,May-40,18.26,5.04,21.7,2,2
36,VB John ,SL,45,45,2311,1655,34,Mar-28,48.67,4.29,67.9,0,0
37,RDM Leverock ,BMUDA,32,32,1684,1123,34,May-53,33.02,4,49.5,0,1
38,RR Powar ,INDIA,31,29,1536,1191,34,Mar-24,35.02,4.65,45.1,0,0
39,JA Rennie ,ZIM,44,43,1965,1564,34,Mar-27,46,4.77,57.7,0,0
40,KW Richardson ,AUS,22,22,1143,1061,34,May-68,31.2,5.56,33.6,0,1
41,Tahir Naqqash ,PAK,40,37,1596,1240,34,Mar-23,36.47,4.66,46.9,0,0
42,Usman Shinwari ,PAK,17,17,768,633,34,May-34,18.61,4.94,22.5,3,2
43,N Vanua ,PNG,23,23,1060,900,34,Apr-24,26.47,5.09,31.1,4,0
44,KCG Benjamin ,WI,26,26,1319,923,33,Mar-34,27.96,4.19,39.9,0,0
45,U Bhatti ,CAN,36,35,1630,1149,33,Apr-45,34.81,4.22,49.3,1,0
46,JG Bracewell ,NZ,53,50,2447,1884,33,02-Mar,57.09,4.61,74.1,0,0
47,ST Gabriel ,WI,25,25,1148,1134,33,Mar-17,34.36,5.92,34.7,0,0
48,YK Pathan ,INDIA,57,50,1490,1365,33,Mar-49,41.36,5.49,45.1,0,0
49,E Schiferli ,NL,30,30,1294,1008,33,Apr-23,30.54,4.67,39.2,3,0
0,Shabbir Ahmed ,PAK,32,32,1642,1192,33,Mar-32,36.12,4.35,49.7,0,0
1,Sikander Bakht ,PAK,27,27,1277,860,33,Apr-34,26.06,4.04,38.6,1,0
2,EO Simons ,SA,23,23,1212,810,33,Apr-42,24.54,4,36.7,1,0
3,MP Stoinis ,AUS,41,39,1414,1446,33,Mar-16,43.81,6.13,42.8,0,0
